Regional Identifiers,Region
"AA, AB, AC, AD, AE, AF, AG, AH, AJ, AK, AL, AM, AN ",Anglia 
"AO, AP, AR, AS, AT, AU ",Anglia 
"AV, AW, AX, AY ",Anglia 
"BA, BB, BC, BD, BE, BF, BG, BH, BJ, BK, BL, BM, BN, BO, BP, BR, BS, BT, BU, BV, BW, BX, BY ",Birmingham 
"CA, CB, CC, CD, CE, CF, CG, CH, CJ, CK, CL, CM, CN, CO ",Cymru 
"CP, CR, CS, CT, CU, CV ",Cymru 
"CW, CX, CY ",Cymru 
"DA, DB, DC, DD, DE, DF, DG, DH, DJ, DK ",Deeside to Shrewsbury 
"DL, DM, DN, DO, DP, DR, DS, DT, DU, DV, DW, DX, DY ",Deeside to Shrewsbury 
"EA, EB, EC, ED, EE, EF, EG, EH, EJ, EK, EL, EM, EN, EO, EP, ER, ES, ET, EU, EV, EW, EX, EY ",Essex 
"FA, FB, FC, FD, FE, FF, FG, FH, FJ, FK, FL, FM, FN, FP ",Forest and Fens 
"FR, FS, FT, FV, FW, FX, FY ",Forest and Fens 
"GA, GB, GC, GD, GE, GF, GG, GH, GJ, GK, GL, GM, GN, GO ",Garden of England 
"GP, GR, GS, GT, GU, GV, GX, GY ",Garden of England 
"HA, HB, HC, HD, HE, HF, HG, HH, HJ ",Hampshire and Dorset 
"HK, HL, HM, HN, HO, HP, HR, HS, HT, HU, HV, HX, HY ",Hampshire and Dorset 
HW ,Hampshire and Dorset 
"KA, KB, KC, KD, KE, KF, KG, KH, KJ, KK, KL ",- 
"KM, KN, KO, KP, KR, KS, KT, KU, KV, KW, KX, KY ",- 
"LA, LB, LC, LD, LE, LF, LG, LH, LJ ",London 
"LK, LL, LM, LN, LO, LP, LR, LS, LT ",London 
"LU, LV, LW, LX, LY ",London 
"MA, MB, MC, MD, ME, MF, MG, MH, MJ, MK, ML, MM, MN, MO, MP, MR, MS, MT, MU, MV, MW, MX, MY ",Manchester and Merseyside 
"NA, NB, NC, ND, NE, NF, NG, NH, NJ, NK, NL, NM, NN, NO ",North 
"NP, NR, NS, NT, NU, NV, NW, NX, NY ",North 
"OA, OB, OC, OD, OE, OF, OG, OH, OJ, OK, OL, OM, ON, OO, OP, OR, OS, OT, OU, OV, OW, OX, OY ",Oxford 
"PA, PB, PC, PD, PE, PF, PG, PH, PJ, PK, PL, PM, PN, PO, PP, PR, PS, PT ",Preston 
"PU, PV, PW, PX, PY ",Preston 
"RA, RB, RC, RD, RE, RF, RG, RH, RJ, RK, RL, RM, RN, RO, RP, RR, RS, RT, RU, RV, RW, RX, RY ",Reading 
"SA, SB, SC, SD, SE, SF, SG, SH, SJ ",Scotland 
"SK, SL, SM, SN, SO ",Scotland 
"SP, SR, SS, ST ",Scotland 
"SU, SV, SW ",Scotland 
"SX, SY ",Scotland 
"VA, VB, VC, VD, VE, VF, VG, VH, VJ, VK, VL, VM, VN, VO, VP, VR, VS, VT, VU, VV, VW, VX, VY",Severn Valley
"WA, WB, WC, WD, WE, WF, WG, WH, WJ ",West of England 
"WK, WL ",West of England 
"WM, WN, WO, WP, WR, WS, WT, WU, WV, WW, WX, WY ",West of England 
"YA, YB, YC, YD, YE, YF, YG, YH, YJ, YK ",Yorkshire
"YL, YM, YN, YO, YP, YR, YS, YT, YU ",Yorkshire 
"YV, YW, YX, YY ",Yorkshire 
